city,iataCode, Airport name, Location, Country,isInternational
GRI Central Nebraska Regional Airport,GRI,Central Nebraska Regional Airport,"Grand Island, Nebraska",United States,
HLP Halim Perdanakusuma International Airport,HLP,Halim Perdanakusuma International Airport,Jakarta,Indonesia,YES
ILH Illisheim Army Airfield,ILH,Illisheim Army Airfield,"Illisheim, Bavaria",Germany,
JIP Jipijapa Airport,JIP,Jipijapa Airport,Jipijapa,Ecuador,
KGN Kasongo Lunda Airport,KGN,Kasongo Lunda Airport,Kasongo Lunda,Democratic Republic of the Congo,
KTA Karratha Airport,KTA,Karratha Airport,"Karratha / Dampier, Western Australia",Australia,
LHA Black Forest Airport (Lahr Airport),LHA,Black Forest Airport (Lahr Airport),"Lahr, Baden-Württemberg",Germany,
LVD Lime Village Airport,LVD,Lime Village Airport,"Lime Village, Alaska",United States,
MIC Crystal Airport,MIC,Crystal Airport,"Minneapolis, Minnesota",United States,
MTI Mosteiros Airport,MTI,Mosteiros Airport,Mosteiros,Cape Verde,
NNR Connemara Regional Airport,NNR,Connemara Regional Airport,Inverin,Ireland,
OVR Olavarría Airport,OVR,Olavarría Airport,Olavarría,Argentina,
PSL Perth Airport,PSL,Perth Airport,"Perth, Scotland",United Kingdom,
RMS Ramstein Air Base,RMS,Ramstein Air Base,Ramstein,Germany,
SKT Sialkot International Airport,SKT,Sialkot International Airport,Sialkot,Pakistan,YES
TAO Qingdao Liuting International Airport,TAO,Qingdao Liuting International Airport,"Qingdao, Shandong",China,YES
TXK Texarkana Regional Airport (Webb Field),TXK,Texarkana Regional Airport (Webb Field),"Texarkana, Arkansas",United States,
VYI Vilyuysk Airport,VYI,Vilyuysk Airport,"Vilyuysk, Sakha Republic",Russia,
YBG Bagotville Airport,YBG,Bagotville Airport,"Bagotville, Quebec",Canada,
YPY Fort Chipewyan Airport,YPY,Fort Chipewyan Airport,"Fort Chipewyan, Alberta",Canada,
ZPC Pucón Airport,ZPC,Pucón Airport,Pucón,Chile,
ADL Adelaide Airport,ADL,Adelaide Airport,"Adelaide, South Australia",Australia,
AQA Araraquara Airport,AQA,Araraquara Airport,"Araraquara, São Paulo",Brazil,
BCY Bulchi Airport,BCY,Bulchi Airport,Bulchi,Ethiopia,
BNK Ballina Airport,BNK,Ballina Airport,"Ballina, New South Wales",Australia,
BZE Philip S. W. Goldson International Airport,BZE,Philip S. W. Goldson International Airport,Ladyville,Belize,YES
CLD McClellan–Palomar Airport,CLD,McClellan–Palomar Airport,"Carlsbad, California",United States,
CXH Vancouver Harbour Water Aerodrome (Coal Harbour Seaplane Base),CXH,Vancouver Harbour Water Aerodrome (Coal Harbour Seaplane Base),"Vancouver, British Columbia",Canada,
DRR Durrie Airport,DRR,Durrie Airport,"Durrie, Queensland",Australia,
ESA Esa'ala Airport,ESA,Esa'ala Airport,Esa'ala,Papua New Guinea,
FUB Fulleborn Airport,FUB,Fulleborn Airport,Fulleborn,Papua New Guinea,
GRJ George Airport,GRJ,George Airport,George,South Africa,
HLR Hood Army Airfield,HLR,Hood Army Airfield,"Fort Hood / Killeen, Texas",United States,
ILI Iliamna Airport,ILI,Iliamna Airport,"Iliamna, Alaska",United States,
JIQ Qianjiang Zhoubai Airport,JIQ,Qianjiang Zhoubai Airport,"Qianjiang, Chongqing",China,
KGO Kirovograd Airport,KGO,Kirovograd Airport,Kirovohrad,Ukraine,
KTB Thorne Bay Seaplane Base,KTB,Thorne Bay Seaplane Base,"Thorne Bay, Alaska",United States,
LHE Allama Iqbal International Airport,LHE,Allama Iqbal International Airport,Lahore,Pakistan,YES
LVI Livingstone Airport,LVI,Livingstone Airport,Livingstone,Zambia,
MID Manuel Crescencio Rejón International Airport,MID,Manuel Crescencio Rejón International Airport,"Mérida, Yucatán",Mexico,YES
MTJ Montrose Regional Airport,MTJ,Montrose Regional Airport,"Montrose, Colorado",United States,
NNY Nanyang Airport,NNY,Nanyang Airport,"Nanyang, Henan",China,
OVS Sovetsky Airport,OVS,Sovetsky Airport,"Sovetsky, Khanty–Mansi Autonomous Okrug",Russia,
PSM Pease International Tradeport,PSM,Pease International Tradeport,"Portsmouth, New Hampshire",United States,YES
RNA Ulawa Airport,RNA,Ulawa Airport,"Arona, Ulawa Island",Solomon Islands,
SKU Skyros Island NATIONAL Airport,SKU,Skyros Island NATIONAL Airport,Skyros,Greece,
TAP Tapachula International Airport,TAP,Tapachula International Airport,"Tapachula, Chiapas",Mexico,YES
TXL Berlin Tegel Airport,TXL,Berlin Tegel Airport,Tegel / Berlin,Germany,
VYS Illinois Valley Regional Airport (Walter A. Duncan Field),VYS,Illinois Valley Regional Airport (Walter A. Duncan Field),"Peru, Illinois",United States,
YBH Bull Harbour Airport,YBH,Bull Harbour Airport,"Bull Harbour, British Columbia",Canada,
YPZ Burns Lake Airport,YPZ,Burns Lake Airport,"Burns Lake, British Columbia",Canada,
ZPH Zephyrhills Municipal Airport,ZPH,Zephyrhills Municipal Airport,"Zephyrhills, Florida",United States,
ADM Ardmore Municipal Airport,ADM,Ardmore Municipal Airport,"Ardmore, Oklahoma",United States,
AQB Quiché Airport,AQB,Quiché Airport,"Quiché, El Quiché",Guatemala,
BCZ Milyakburra Airport,BCZ,Milyakburra Airport,"Milyakburra, Northern Territory",Australia,
BNL Barnwell Regional Airport,BNL,Barnwell Regional Airport,"Barnwell, South Carolina",United States,
BZG Bydgoszcz Ignacy Jan Paderewski Airport,BZG,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,Poland,
CLE Cleveland Hopkins International Airport,CLE,Cleveland Hopkins International Airport,"Cleveland, Ohio",United States,YES
CXI Cassidy International Airport,CXI,Cassidy International Airport,Christmas Island,Kiribati,YES
DRS Dresden Airport,DRS,Dresden Airport,Dresden,Germany,
ESB Esenbo?a International Airport,ESB,Esenbo?a International Airport,Ankara,Turkey,YES
